Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/developer/embedded/embed-service-principal.md,Embed Power BI content in an embedded analytics application with service principal and an application secret - Power BI,28719.0,271-365 days,2024-11-14,
powerbi-docs/create-reports/service-export-to-pbix.md,Download a report from the Power BI service to Power BI Desktop - Power BI,24236.0,271-365 days,2025-02-05,
powerbi-docs/collaborate-share/service-roles-new-workspaces.md,Roles in workspaces in Power BI - Power BI,16306.0,271-365 days,2024-11-25,
powerbi-docs/guidance/star-schema.md,Understand star schema and the importance for Power BI - Power BI,15252.0,271-365 days,2024-12-30,
powerbi-docs/create-reports/desktop-report-themes.md,Use report themes in Power BI Desktop - Power BI,13467.0,271-365 days,2024-11-18,
powerbi-docs/transform-model/desktop-composite-models.md,Use composite models in Power BI Desktop - Power BI,13321.0,271-365 days,2024-12-16,
powerbi-docs/create-reports/desktop-sharepoint-save-share.md,Power BI Desktop OneDrive and SharePoint integration - Power BI,13238.0,271-365 days,2024-11-18,
powerbi-docs/create-reports/service-dashboards.md,Intro to dashboards for Power BI designers - Power BI,12390.0,271-365 days,2024-11-18,
powerbi-docs/developer/visuals/import-visual.md,Import Power BI visuals from AppSource or from a file - Power BI,11626.0,271-365 days,2025-01-12,
powerbi-docs/create-reports/desktop-bookmarks.md,Create report bookmarks in Power BI - Power BI,11091.0,271-365 days,2024-11-18,
powerbi-docs/consumer/end-user-report-open.md,View a report - Power BI,9805.0,271-365 days,2025-01-09,
powerbi-docs/collaborate-share/service-embed-report-spo.md,Embed a report web part in SharePoint Online - Power BI,8757.0,271-365 days,2025-01-07,
powerbi-docs/developer.md,Power BI developer documentation - Power BI,7245.0,> 365 days,2024-10-20,
powerbi-docs/collaborate-share/service-modern-usage-metrics.md,Monitor usage metrics in workspaces (preview) - Power BI,7084.0,271-365 days,2025-01-14,
powerbi-docs/developer/embedded/embed-sample-for-customers.md,Embed content in your Power BI embedded analytics application - Power BI,6496.0,271-365 days,2025-01-06,
powerbi-docs/consumer/end-user-fresh.md,How to be sure that content is up to date - Power BI,6424.0,271-365 days,2025-01-09,
powerbi-docs/connect-data/desktop-data-sources.md,Data sources in Power BI Desktop - Power BI,6207.0,271-365 days,2024-11-12,
powerbi-docs/developer/projects/projects-overview.md,Power BI Desktop projects (PBIP) - Power BI,6173.0,> 365 days,2024-08-13,
powerbi-docs/create-reports/service-goals-create.md,Create scorecards and manual metrics - Power BI,6001.0,271-365 days,2024-11-18,
powerbi-docs/create-reports/desktop-accessibility-consuming-tools.md,Consume reports in Power BI with accessibility tools - Power BI,5974.0,271-365 days,2024-12-02,
powerbi-docs/collaborate-share/service-automate-power-bi-report-export.md,Export and email a report with Power Automate - Power BI,5855.0,271-365 days,2024-12-12,
powerbi-docs/transform-model/service-edit-data-models.md,Edit semantic models in the Power BI service - Power BI,5272.0,271-365 days,2025-01-12,
powerbi-docs/developer/visuals/develop-power-bi-visuals.md,Develop custom visuals in Power BI - Power BI,5172.0,> 365 days,2024-06-06,
powerbi-docs/connect-data/incremental-refresh-configure.md,Configure incremental refresh for Power BI semantic models - Power BI,4972.0,271-365 days,2024-12-03,
powerbi-docs/guidance/power-bi-optimization.md,Optimization guide for Power BI - Power BI,4865.0,271-365 days,2024-12-30,
