Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/developer.md,Power BI developer documentation - Power BI,7245.0,> 365 days,2024-10-20,
powerbi-docs/developer/projects/projects-overview.md,Power BI Desktop projects (PBIP) - Power BI,6173.0,> 365 days,2024-08-13,2024-08-13
powerbi-docs/developer/visuals/develop-power-bi-visuals.md,Develop custom visuals in Power BI - Power BI,5172.0,> 365 days,2024-06-06,2024-06-06
powerbi-docs/developer/embedded/embed-customer-app.md,Embed Power BI report in a Power BI embedded analytics application for your customers - Power BI,4860.0,> 365 days,2024-06-03,2024-06-03
powerbi-docs/visuals/power-bi-visualization-new-card.md,Create a (new) card visual in Power BI - Power BI,4145.0,> 365 days,2024-10-30,2024-10-30
powerbi-docs/visuals/desktop-slicer-filter-date-range.md,Create a relative date slicer or filter in Power BI - Power BI,3815.0,271-365 days,2024-11-04,2024-11-04
powerbi-docs/developer/visuals/power-bi-custom-visuals.md,Main sources for acquiring Power BI custom visuals - Power BI,3446.0,> 365 days,2024-11-02,2024-11-02
powerbi-docs/developer/projects/projects-git.md,Git integration with Power BI Desktop projects - Power BI,2616.0,> 365 days,2024-08-13,2024-08-13
powerbi-docs/visuals/power-bi-visualization-card-visual-new-format-settings.md,(new) Card visual format settings - Power BI,2511.0,> 365 days,2024-10-28,2024-10-28
powerbi-docs/developer/projects/projects-build-pipelines.md,Azure DevOps build pipeline integration with Power BI Desktop projects - Power BI,2318.0,> 365 days,2024-08-13,2024-08-13
powerbi-docs/connect-data/desktop-assume-referential-integrity.md,Assume Referential Integrity setting in Power BI Desktop - Power BI,2178.0,> 365 days,2024-07-25,2024-07-25
powerbi-docs/developer/projects/projects-dataset.md,Power BI Desktop project semantic model folder - Power BI,2054.0,> 365 days,2024-08-13,2024-08-13
powerbi-docs/paginated-reports/paginated-reports-quickstart-aw.md,Tutorial: Create a paginated report and upload it to the Power BI service - Power BI,2017.0,> 365 days,2024-06-28,2024-06-28
powerbi-docs/transform-model/dataflows/dataflows-premium-features.md,Premium features of dataflows - Power BI,1996.0,> 365 days,2024-05-03,2024-05-03
powerbi-docs/developer/embedded/embed-organization-app.md,Embed Power BI report in a Power BI embedded analytics application for your organization - Power BI,1968.0,> 365 days,2024-06-03,2024-06-03
powerbi-docs/connect-data/service-gateway-custom-connectors.md,Use custom data connectors with the on-premises data gateway - Power BI,1866.0,> 365 days,2023-02-13,2023-02-13
powerbi-docs/developer/visuals/licensing-faq.md,Frequently asked questions about Custom visual license management - Power BI,1842.0,> 365 days,2024-07-25,
powerbi-docs/create-reports/power-bi-personalize-visuals.md,Let users personalize visuals in a report - Power BI,1842.0,> 365 days,2023-03-01,2023-03-01
powerbi-docs/connect-data/create-dataset-sharepoint-online-list.md,Create a semantic model from a SharePoint List - Power BI,1797.0,> 365 days,2023-02-22,2023-02-22
powerbi-docs/paginated-reports/paginated-reports-samples.md,Sample Power BI paginated reports - Power BI,1763.0,> 365 days,2022-10-27,2022-10-27
powerbi-docs/natural-language/q-and-a-intro.md,Learn how to use natural language to explore data with Power BI Q&A - Power BI,1746.0,> 365 days,2023-09-12,2023-09-12
powerbi-docs/transform-model/log-analytics/desktop-log-analytics-overview.md,Using Azure Log Analytics in Power BI - Power BI,1734.0,> 365 days,2024-08-04,2024-08-04
powerbi-docs/transform-model/desktop-modeling-view.md,Use Model view in Power BI Desktop - Power BI,1720.0,> 365 days,2024-09-03,2024-09-03
powerbi-docs/connect-data/service-live-connect-dq-datasets.md,What's the difference between live connections and DirectQuery? - Power BI,1707.0,> 365 days,2024-05-13,2024-05-13
powerbi-docs/visuals/power-bi-line-chart.md,Create line charts in Power BI - Power BI,1649.0,> 365 days,2023-07-14,
